iter	Passed	Remaining
0	6	6885
1	13	6806
2	19	6559
3	25	6382
4	32	6459
5	38	6320
6	44	6318
7	51	6350
8	57	6304
9	63	6272
10	69	6241
11	76	6271
12	82	6267
13	88	6235
14	94	6230
15	101	6220
16	107	6187
17	113	6172
18	119	6162
19	126	6180
20	132	6181
21	138	6173
22	145	6163
23	152	6186
24	158	6190
25	164	6177
26	171	6170
27	177	6175
28	183	6155
29	191	6175
30	197	6181
31	204	6188
32	211	6201
33	217	6182
34	225	6215
35	231	6206
36	238	6215
37	245	6216
38	251	6204
39	259	6223
40	265	6202
41	272	6210
42	278	6200
43	284	6189
44	291	6193
45	297	6177
46	304	6174
47	311	6168
48	317	6164
49	324	6164
50	331	6164
51	338	6164
52	344	6162
53	352	6167
54	358	6161
55	365	6163
56	372	6165
57	379	6167
58	386	6164
59	393	6158
60	399	6154
61	406	6142
62	412	6133
63	418	6127
64	425	6116
65	432	6122
66	439	6113
67	445	6105
68	452	6106
69	459	6099
70	466	6106
71	476	6144
72	488	6197
73	498	6240
74	506	6245
75	516	6278
76	523	6272
77	530	6273
78	537	6271
79	544	6265
80	551	6260
81	558	6253
82	565	6245
83	571	6235
84	579	6233
85	585	6223
86	592	6217
87	598	6206
88	605	6199
89	612	6191
90	618	6182
91	625	6178
92	632	6166
93	639	6161
94	645	6148
95	651	6134
96	658	6134
97	665	6121
98	671	6113
99	678	6110
100	685	6102
101	693	6104
102	699	6095
103	707	6094
104	714	6087
105	721	6081
106	729	6089
107	736	6079
108	743	6075
109	749	6062
110	756	6056
111	763	6050
112	769	6040
113	776	6038
114	783	6029
115	791	6029
116	797	6018
117	804	6011
118	810	6004
119	817	5994
120	824	5989
121	831	5981
122	837	5973
123	844	5965
124	851	5959
125	857	5950
126	867	5966
127	873	5953
128	880	5943
129	886	5932
130	892	5919
131	899	5913
132	905	5901
133	911	5891
134	919	5889
135	925	5878
136	932	5874
137	939	5870
138	946	5862
139	954	5862
140	960	5854
141	968	5851
142	975	5845
143	982	5840
144	989	5837
145	996	5831
146	1004	5829
147	1011	5824
148	1018	5816
149	1024	5806
150	1031	5799
151	1039	5797
152	1045	5788
153	1052	5784
154	1059	5776
155	1066	5770
156	1073	5762
157	1080	5756
158	1086	5749
159	1094	5744
160	1100	5737
161	1108	5731
162	1114	5723
163	1120	5711
164	1127	5706
165	1134	5697
166	1140	5690
167	1147	5683
168	1153	5672
169	1161	5670
170	1167	5659
171	1174	5652
172	1181	5646
173	1187	5636
174	1194	5630
175	1200	5622
176	1207	5615
177	1214	5609
178	1221	5602
179	1228	5595
180	1234	5585
181	1241	5578
182	1248	5573
183	1255	5565
184	1261	5558
185	1268	5549
186	1274	5542
187	1281	5536
188	1288	5529
189	1295	5521
190	1301	5513
191	1308	5507
192	1315	5499
193	1322	5493
194	1329	5486
195	1336	5480
196	1342	5470
197	1348	5460
198	1355	5455
199	1361	5446
200	1368	5441
201	1375	5432
202	1381	5422
203	1388	5418
204	1394	5409
205	1402	5405
206	1408	5397
207	1415	5390
208	1422	5385
209	1429	5378
210	1436	5371
211	1442	5363
212	1449	5354
213	1456	5348
214	1462	5341
215	1469	5333
216	1476	5326
217	1483	5319
218	1489	5313
219	1496	5305
220	1502	5297
221	1509	5290
222	1516	5283
223	1523	5276
224	1529	5269
225	1536	5262
226	1543	5255
227	1549	5247
228	1556	5240
229	1563	5234
230	1570	5227
231	1576	5219
232	1583	5213
233	1589	5204
234	1597	5200
235	1603	5191
236	1610	5184
237	1617	5177
238	1623	5169
239	1631	5166
